TERRITORIO#es,TERRITORIO_CODE,SEXO#es,SEXO_CODE,JORNADA_LABORAL_TIPO#es,JORNADA_LABORAL_TIPO_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION#es,ESTADO_OBSERVACION#es
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2020 Segundo trimestre,2020-Q2,2521,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2020 Tercer trimestre,2020-Q3,1302,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2020 Tercer trimestre,2020-Q3,2673,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2020 Cuarto trimestre,2020-Q4,1324,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2020 Cuarto trimestre,2020-Q4,2636,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2021 Primer trimestre,2021-Q1,1275,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2021 Primer trimestre,2021-Q1,2578,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2021 Segundo trimestre,2021-Q2,1401,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2021 Segundo trimestre,2021-Q2,2496,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2021 Tercer trimestre,2021-Q3,1421,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2021 Tercer trimestre,2021-Q3,2810,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2021 Cuarto trimestre,2021-Q4,1552,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2021 Cuarto trimestre,2021-Q4,3010,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2022 Primer trimestre,2022-Q1,1656,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2022 Primer trimestre,2022-Q1,3152,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2022 Segundo trimestre,2022-Q2,1669,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2022 Segundo trimestre,2022-Q2,3012,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2022 Tercer trimestre,2022-Q3,1567,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2022 Tercer trimestre,2022-Q3,3120,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2022 Cuarto trimestre,2022-Q4,1670,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2022 Cuarto trimestre,2022-Q4,3238,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2023 Primer trimestre,2023-Q1,1686,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2023 Primer trimestre,2023-Q1,3236,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2023 Segundo trimestre,2023-Q2,1729,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2023 Segundo trimestre,2023-Q2,3133,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2023 Tercer trimestre,2023-Q3,1717,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2023 Tercer trimestre,2023-Q3,3333,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2023 Cuarto trimestre,2023-Q4,1784,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2023 Cuarto trimestre,2023-Q4,3420,,,
